SettlementPoint,NodeType,YearMonth,AvgPrice
LZ_LCRA,LoadZone,2017-12,21.1177
LZ_LCRA,LoadZone,2018-01,38.9926
LZ_LCRA,LoadZone,2018-02,21.7622
LZ_LCRA,LoadZone,2018-03,22.0513
LZ_LCRA,LoadZone,2018-04,22.644
LZ_LCRA,LoadZone,2018-05,34.7354
LZ_LCRA,LoadZone,2018-06,30.3656
LZ_LCRA,LoadZone,2018-07,79.0699
LZ_LCRA,LoadZone,2018-08,31.808
LZ_LCRA,LoadZone,2018-09,27.1873
LZ_LCRA,LoadZone,2018-10,30.0699
LZ_LCRA,LoadZone,2018-11,30.5158
LZ_LCRA,LoadZone,2018-12,30.5827
LZ_LCRA,LoadZone,2019-01,24.9363
LZ_LCRA,LoadZone,2019-02,21.667
LZ_LCRA,LoadZone,2019-03,27.6493
LZ_LCRA,LoadZone,2019-04,23.3148
LZ_LCRA,LoadZone,2019-05,24.5087
LZ_LCRA,LoadZone,2019-06,24.5195
LZ_LCRA,LoadZone,2019-07,29.7479
LZ_LCRA,LoadZone,2019-08,126.6708
LZ_LCRA,LoadZone,2019-09,82.4672
LZ_LCRA,LoadZone,2019-10,29.0158
LZ_LCRA,LoadZone,2019-11,24.4852
LZ_LCRA,LoadZone,2019-12,19.4569
LZ_NORTH,LoadZone,2016-01,19.188
LZ_NORTH,LoadZone,2016-02,15.4622
LZ_NORTH,LoadZone,2016-03,17.4615
LZ_NORTH,LoadZone,2016-04,19.0876
LZ_NORTH,LoadZone,2016-05,18.1829
LZ_NORTH,LoadZone,2016-06,23.5627
LZ_NORTH,LoadZone,2016-07,27.4158
LZ_NORTH,LoadZone,2016-08,30.1486
LZ_NORTH,LoadZone,2016-09,26.6059
LZ_NORTH,LoadZone,2016-10,24.5327
LZ_NORTH,LoadZone,2016-11,18.8305
LZ_NORTH,LoadZone,2016-12,25.2863
LZ_NORTH,LoadZone,2017-01,23.603
LZ_NORTH,LoadZone,2017-02,19.55
LZ_NORTH,LoadZone,2017-03,21.8394
LZ_NORTH,LoadZone,2017-04,21.9758
LZ_NORTH,LoadZone,2017-05,24.5575
LZ_NORTH,LoadZone,2017-06,26.8937
LZ_NORTH,LoadZone,2017-07,31.1868
LZ_NORTH,LoadZone,2017-08,27.0604
LZ_NORTH,LoadZone,2017-09,23.9684
LZ_NORTH,LoadZone,2017-10,21.9384
LZ_NORTH,LoadZone,2017-11,22.2632
LZ_NORTH,LoadZone,2017-12,21.4081
LZ_NORTH,LoadZone,2018-01,37.7285
LZ_NORTH,LoadZone,2018-02,21.8405
LZ_NORTH,LoadZone,2018-03,22.6406
LZ_NORTH,LoadZone,2018-04,24.3669
LZ_NORTH,LoadZone,2018-05,37.4519
LZ_NORTH,LoadZone,2018-06,31.3016
LZ_NORTH,LoadZone,2018-07,79.8462
LZ_NORTH,LoadZone,2018-08,31.9716
LZ_NORTH,LoadZone,2018-09,27.8858
LZ_NORTH,LoadZone,2018-10,31.6454
LZ_NORTH,LoadZone,2018-11,31.9741
LZ_NORTH,LoadZone,2018-12,31.1319
LZ_NORTH,LoadZone,2019-01,24.3678
LZ_NORTH,LoadZone,2019-02,20.8511
LZ_NORTH,LoadZone,2019-03,28.594
LZ_NORTH,LoadZone,2019-04,23.7184
LZ_NORTH,LoadZone,2019-05,24.0115
LZ_NORTH,LoadZone,2019-06,25.2079
LZ_NORTH,LoadZone,2019-07,29.8349
LZ_NORTH,LoadZone,2019-08,126.6009
LZ_NORTH,LoadZone,2019-09,80.7742
LZ_NORTH,LoadZone,2019-10,28.7329
LZ_NORTH,LoadZone,2019-11,24.1536
LZ_NORTH,LoadZone,2019-12,19.0068
LZ_RAYBN,LoadZone,2016-01,19.4479
LZ_RAYBN,LoadZone,2016-02,15.4004
LZ_RAYBN,LoadZone,2016-03,17.1172
LZ_RAYBN,LoadZone,2016-04,18.8554
LZ_RAYBN,LoadZone,2016-05,18.321
LZ_RAYBN,LoadZone,2016-06,23.3159
LZ_RAYBN,LoadZone,2016-07,27.4711
LZ_RAYBN,LoadZone,2016-08,30.1498
LZ_RAYBN,LoadZone,2016-09,26.4703
LZ_RAYBN,LoadZone,2016-10,24.4525
LZ_RAYBN,LoadZone,2016-11,18.8753
LZ_RAYBN,LoadZone,2016-12,25.3196
LZ_RAYBN,LoadZone,2017-01,23.3901
LZ_RAYBN,LoadZone,2017-02,20.3692
LZ_RAYBN,LoadZone,2017-03,21.9072
LZ_RAYBN,LoadZone,2017-04,22.2134
LZ_RAYBN,LoadZone,2017-05,24.0013
LZ_RAYBN,LoadZone,2017-06,26.125
LZ_RAYBN,LoadZone,2017-07,30.7605
LZ_RAYBN,LoadZone,2017-08,26.8248
LZ_RAYBN,LoadZone,2017-09,23.5357
LZ_RAYBN,LoadZone,2017-10,21.3799
LZ_RAYBN,LoadZone,2017-11,21.8292
LZ_RAYBN,LoadZone,2017-12,21.3126
LZ_RAYBN,LoadZone,2018-01,39.3701
LZ_RAYBN,LoadZone,2018-02,22.4032
LZ_RAYBN,LoadZone,2018-03,23.8057
LZ_RAYBN,LoadZone,2018-04,27.1989
LZ_RAYBN,LoadZone,2018-05,40.9512
LZ_RAYBN,LoadZone,2018-06,31.9456
LZ_RAYBN,LoadZone,2018-07,84.9019
LZ_RAYBN,LoadZone,2018-08,32.5187
LZ_RAYBN,LoadZone,2018-09,27.6809
LZ_RAYBN,LoadZone,2018-10,30.625
LZ_RAYBN,LoadZone,2018-11,33.4524
LZ_RAYBN,LoadZone,2018-12,31.5535
LZ_RAYBN,LoadZone,2019-01,24.4115
LZ_RAYBN,LoadZone,2019-02,21.0663
LZ_RAYBN,LoadZone,2019-03,29.8098
LZ_RAYBN,LoadZone,2019-04,24.9983
LZ_RAYBN,LoadZone,2019-05,24.7882
LZ_RAYBN,LoadZone,2019-06,25.4585
